age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
68,0,247,4921,8,0,0,0,0,0
39,0,28180000,5400,13,0,1,0,1,0
80,0,2510000,5400,5,0,0,0,0,0
54,0,2632,15800,4,0,1,0,2,0
56,1,3562,12958,19,0,1,0,0,0
44,0,6274,6666,12,0,2,0,0,0
45,0,1725,2896,6,0,0,0,1,0
71,0,4116,4481,9,0,1,0,0,0
44,0,1444,4000,3,0,0,0,1,0
63,0,7724,7192,15,0,1,0,1,0
68,0,826,3000,10,0,0,0,0,0
32,0,613,7500,5,0,0,0,3,0
49,0,255,38133,6,0,1,0,0,0
42,0,1695,14167,6,0,1,0,2,0
47,0,0,10548,5,0,0,0,1,0
27,0,1886,3000,13,0,0,0,0,0
33,0,3077,12500,6,0,2,0,1,0
30,0,1667,4725,5,0,0,0,0,0
60,0,3854,10292,9,0,2,0,1,0
41,0,3945,7034,12,0,2,0,1,0
60,0,2254,6000,13,0,0,0,1,0
25,0,227,8533,2,0,0,0,0,0
38,0,64260000,5400,9,0,2,0,0,0
43,0,27930000,5400,10,0,1,0,0,0
48,0,1674,8920,13,0,1,0,1,0
70,0,13486,2216,9,0,1,0,0,0
77,1,2971,10735,9,0,1,0,1,0
77,0,55059,167,6,0,0,0,0,0
45,0,4550,5600,10,0,2,0,0,0
66,0,1760000,5400,2,0,0,0,0,0
60,0,81730000,5400,8,0,3,0,1,0
78,2,3174,2500,7,0,0,0,0,1
40,0,21860000,5400,2,0,1,0,0,0
50,0,1772,4705,7,0,0,0,1,0
65,0,589,3750,2,0,0,0,2,0
64,0,26970000,5400,9,0,1,0,0,0
40,0,6910,10000,10,0,4,0,6,0
41,0,6505,2400,13,0,2,0,0,0
61,1,1654,6900,6,0,0,0,0,0
43,0,3010000,5400,2,0,0,1,0,0
46,0,1547,2325,5,0,0,0,0,0
45,0,2369,9029,7,0,1,0,2,0
53,0,4819,26000,18,0,7,0,1,1
35,0,6149,3297,5,0,1,0,1,0
27,2,1652,3800,4,0,0,0,1,0
59,0,1635,16667,10,0,3,0,1,0
81,0,24,8000,6,0,0,0,0,0
33,0,5930,3024,7,0,0,0,0,0
36,0,3444,5503,7,0,2,0,4,0
55,0,3803,5215,9,0,0,0,1,0
38,0,2100,7083,5,0,2,0,0,0
54,0,5872,2800,11,0,1,0,0,0
23,0,0,1920,1,0,0,0,0,0
84,0,1521,3061,11,0,1,0,0,0
52,0,4586,10000,10,0,2,0,1,0
69,0,5789,5500,11,0,2,0,0,0
62,0,3228,7187,9,0,1,0,0,0
21,0,0,5400,2,0,0,0,0,0
72,0,74,800,1,0,0,0,0,0
59,1,918,8000,12,0,0,0,0,0
39,0,7190000,5400,5,0,0,0,0,0
49,0,8383,1750,9,0,1,0,1,0
23,0,639,1000,1,0,0,0,0,0
62,0,28130000,5400,8,0,1,0,0,0
37,0,5210000,5400,8,0,0,0,1,0
76,0,2,11166,9,0,0,0,0,0
72,0,1010,4700,17,0,0,0,0,0
48,0,6640,1800,10,0,0,0,0,0
46,0,86,925,11,0,0,0,0,0
78,0,0,5400,3,0,0,0,0,0
55,1,15848,7916,15,0,8,0,1,0
82,0,42,10000,3,0,0,0,0,0
66,0,883,4833,7,0,0,0,0,0
59,0,1650000,5400,3,0,0,1,0,0
56,0,25,4626,2,1,0,1,0,0
51,0,1592,13270,8,0,1,0,2,0
51,0,2286,11250,4,0,0,0,1,0
95,0,40000,5400,4,0,0,0,0,0
40,3,5030,2800,2,0,1,0,1,0
49,0,12880000,5400,3,0,0,0,2,0
47,0,3066,4000,3,0,1,0,2,0
31,1,6700000,5400,9,0,0,0,0,0
56,0,1957,6100,9,0,2,0,1,0
74,2,2932,4538,10,0,1,0,1,1
69,0,61360000,5400,9,0,1,0,1,0
58,0,5171,6100,4,0,1,0,1,0
49,0,1899,7787,5,0,1,0,3,0
73,0,38,4195,4,0,0,0,0,0
44,0,2257,5417,6,1,0,0,1,1
72,0,19480000,5400,10,0,2,0,0,0
70,0,595,1024,1,1,0,0,0,1
70,0,710000,5400,7,0,0,0,0,0
47,1,5122,11667,17,0,1,0,2,0
72,0,1655,1243,5,0,0,0,0,0
57,1,3303,10275,16,0,2,0,1,0
26,0,374,800,1,0,0,0,0,0
60,0,11,9500,3,0,0,0,0,0
57,0,3441,10400,7,0,2,0,0,0
46,0,15657,2500,3,0,1,0,3,0
47,1,7950,4425,9,0,2,0,3,0
63,0,2114,11000,7,0,1,0,1,0
69,0,9030000,5400,7,0,1,0,0,0
67,2,16418,3140,16,0,3,0,0,0
31,0,1232,2700,2,0,0,0,0,0
61,2,319,3000,24,0,0,0,0,0
56,0,827,5833,4,0,0,0,2,0
58,0,12070000,5400,8,0,0,0,0,0
76,0,4094,1208,2,0,0,0,0,0
81,0,2468,6148,6,0,1,0,0,0
53,0,6487,13000,24,0,2,0,2,0
64,3,4900000,5400,7,2,0,1,2,1
66,0,1594,10000,14,0,0,0,0,0
44,0,3171,7750,7,0,2,0,2,0
48,0,12050000,5400,8,0,1,0,0,0
62,1,14650000,5400,1,0,0,0,0,1
41,0,2749,9500,10,1,1,0,2,0
74,3,5158,15400,12,0,1,0,0,0
59,0,1904,6600,9,0,2,0,2,0
25,0,3209,1700,2,0,0,1,0,1
86,0,1062,3000,4,0,0,0,0,0
58,0,4403,11050,25,0,0,0,0,0
26,0,619,4166,2,0,0,0,0,0
66,0,2001,10388,5,0,1,0,1,0
44,0,5555,4200,6,0,2,0,0,0
69,0,1292,12638,13,0,1,0,1,0
38,0,2942,3500,8,0,0,0,2,0
33,0,1592,4100,6,0,0,0,3,0
57,0,612,6500,3,0,0,0,0,0
76,1,673,3490,7,0,0,0,0,0
29,0,855,7315,3,0,1,0,2,0
68,0,14178,2100,8,0,2,0,0,0
44,0,1329,5800,3,0,0,0,3,0
53,1,490000,5400,5,0,0,0,0,0
23,0,5984,898,3,0,0,0,0,0
67,0,90000,5400,4,0,0,0,0,0
60,0,11980000,5400,12,0,1,0,2,0
41,0,8128,3092,6,0,1,0,2,0
44,0,12130000,5400,5,0,1,0,0,0
59,1,25380000,0,6,0,1,0,0,0
49,0,3465,4500,8,0,0,0,1,0
49,2,82460000,5400,18,0,3,0,0,0
31,0,6636,3070,8,0,1,0,3,0
62,0,12070000,5400,5,0,1,0,0,0
31,0,593,6250,4,0,0,0,0,0
48,2,100000,5400,2,0,0,0,0,0
30,0,7055,2400,2,0,1,0,0,0
27,0,3675,2064,4,0,0,0,0,0
42,1,4269,9500,14,0,1,0,2,0
65,0,13680000,5400,9,0,1,0,0,0
59,0,3686,4700,4,0,1,0,2,0
49,0,5105,5278,8,0,1,0,0,0
63,0,308,5579,8,0,0,0,0,0
53,0,734,6013,9,0,0,0,0,0
43,0,766,4041,7,0,0,0,0,0
45,1,4091,6175,6,0,2,0,1,0
28,0,1664,3255,3,0,0,0,0,0
84,0,19,3000,5,0,0,0,0,0
73,0,222,1166,2,0,0,0,0,0
63,0,2337,6189,5,0,2,0,3,0
28,0,983,6800,4,0,1,0,2,0
58,0,5914,3110,4,0,1,0,0,0
50,0,3190,1400,3,0,0,0,1,0
27,0,1556,6200,6,1,0,0,0,0
40,0,2603,12895,14,0,1,0,2,0
61,0,4059,5943,5,0,2,0,0,0
68,0,34620000,5400,11,0,2,0,1,0
80,0,1593,14700,14,0,2,0,1,0
62,2,2027,20000,14,0,2,0,1,0
49,0,379,13444,5,0,1,0,3,0
42,0,3704,7366,14,0,2,0,2,0
39,0,1049,4260,4,0,0,1,3,1
57,0,2113,6500,9,0,1,0,3,0
43,0,6900,4000,8,0,1,0,0,0
86,1,6819,6083,22,0,1,0,0,0
59,0,2376,8083,14,0,1,0,1,0
51,2,1023,8750,4,0,0,0,1,1
