iter	Passed	Remaining
0	162	32330
1	166	16470
2	170	11182
3	174	8526
4	177	6922
5	180	5849
6	184	5085
7	187	4506
8	191	4069
9	195	3713
10	199	3420
11	202	3170
12	206	2968
13	210	2790
14	213	2635
15	217	2500
16	221	2382
17	225	2275
18	228	2177
19	232	2089
20	236	2014
21	239	1941
22	243	1872
23	246	1809
24	250	1755
25	254	1702
26	258	1654
27	261	1608
28	265	1565
29	269	1526
30	273	1488
31	276	1452
32	280	1418
33	284	1387
34	288	1358
35	291	1329
36	295	1302
37	299	1276
38	303	1251
39	306	1225
40	309	1202
41	313	1179
42	317	1158
43	320	1137
44	324	1116
45	327	1098
46	331	1079
47	335	1061
48	339	1045
49	343	1029
50	347	1014
51	350	998
52	354	982
53	357	967
54	361	951
55	364	937
56	368	924
57	372	911
58	375	898
59	380	886
60	383	874
61	387	862
62	391	850
63	394	838
64	398	827
65	402	816
66	405	805
67	409	795
68	412	783
69	417	774
70	420	764
71	424	754
72	428	745
73	432	735
74	436	726
75	439	717
76	443	708
77	447	699
78	451	690
79	454	681
80	458	673
81	462	665
82	466	657
83	470	649
84	473	641
85	477	632
86	481	625
87	484	616
88	487	608
89	491	600
90	495	593
91	498	585
92	502	577
93	506	570
94	509	563
95	513	556
96	517	549
97	520	542
98	524	535
99	528	528
100	532	521
101	535	514
102	539	508
103	543	501
104	547	495
105	550	488
106	554	481
107	558	475
108	561	468
109	565	462
110	569	456
111	572	450
112	576	444
113	580	437
114	584	431
115	587	425
116	591	419
117	595	413
118	598	407
119	602	401
120	606	396
121	611	390
122	614	384
123	618	379
124	623	373
125	626	368
126	630	362
127	634	356
128	637	350
129	641	345
130	644	339
131	648	334
132	652	328
133	656	323
134	659	317
135	663	312
136	667	306
137	670	301
138	674	296
139	679	291
140	683	285
141	686	280
142	690	275
143	694	270
144	698	264
145	701	259
146	705	254
147	708	249
148	712	243
149	716	238
150	719	233
151	723	228
152	728	223
153	732	218
154	736	213
155	741	209
156	745	204
157	749	199
158	753	194
159	758	189
160	762	184
161	766	179
162	770	174
163	774	170
164	779	165
165	783	160
166	787	155
167	791	150
168	796	146
169	800	141
170	804	136
171	809	131
172	813	126
173	817	122
174	821	117
175	826	112
176	830	107
177	834	103
178	837	98
179	842	93
180	845	88
181	849	83
182	853	79
183	857	74
184	860	69
185	864	65
186	868	60
187	872	55
188	875	50
189	879	46
190	883	41
191	886	36
192	890	32
193	894	27
194	898	23
195	902	18
196	906	13
197	911	9
198	916	4
199	920	0
